5.0	Ein Flugzeug steigt ab.	Ein Luftflugzeug geht ab.
3.8	Ein Mann spielt eine große Flöte.	Ein Mann spielt Flöte.
3.8	Ein Mann breitet zerkleinerten Käse auf einer Pizza aus.	Ein Mann verteilt geschredderten Käse auf einer ungekochten Pizza.
2.6	Drei Männer spielen Schach.	Zwei Männer spielen Schach.
4.25	Ein Mann spielt Cello.	Ein sitzender Mann spielt Cello.
4.25	Manche Männer kämpfen.	Zwei Männer kämpfen.
0.5	Ein Mann raucht.	Ein Mann ist Skaten.
1.6	Der Mann spielt Klavier.	Der Mann spielt Gitarre.
2.2	Ein Mann spielt auf einer Gitarre und singt.	Eine Frau spielt eine akustische Gitarre und singt.
5.0	Eine Person wirft eine Katze an die Decke.	Eine Person wirft eine Katze an die Decke.
4.2	Der Mann schlug den anderen Mann mit einem Stock.	Der Mann hat den anderen Mann mit einem Stock verprügelt.
4.6	Eine Frau nimmt auf und hält ein Baby Känguru.	Eine Frau nimmt auf und hält ein Baby Känguru in ihren Armen.
3.867	Ein Mann spielt Flöte.	Ein Mann spielt eine Bambusflöte.
4.667	Eine Person faltet ein Stück Papier.	Jemand faltet ein Stück Papier.
1.667	Ein Mann läuft auf der Straße.	Ein Panda-Hund läuft auf der Straße.
3.75	Ein Hund versucht, Speck vom Rücken zu bekommen.	Ein Hund versucht, den Speck auf dem Rücken zu essen.
5.0	Der Eisbär gleitet auf dem Schnee.	Ein Eisbär gleitet über den Schnee.
0.5	Eine Frau schreibt.	Eine Frau schwimmt.
3.8	Eine Katze reibt sich gegen das Gesicht des Babys.	Eine Katze reibt gegen ein Baby.
5.0	Der Mann reitet ein Pferd.	Ein Mann reitet auf einem Pferd.
3.2	Ein Mann gießt Öl in einen Topf.	Ein Mann gießt Wein in einen Topf.
2.8	Ein Mann spielt Gitarre.	Ein Mädchen spielt Gitarre.
4.6	Ein Panda gleitet eine Rutsche hinunter.	Ein Panda gleitet eine Rutsche hinunter.
3.0	Eine Frau isst etwas.	Eine Frau isst Fleisch.
5.0	Eine Frau schält eine Kartoffel.	Eine Frau schält eine Kartoffel.
4.8	Der Junge ist vom Fahrrad gefallen.	Ein Junge fällt vom Fahrrad.
5.0	Die Frau spielt Flöte.	Eine Frau spielt Flöte.
4.2	Ein Kaninchen läuft vor einem Adler.	Ein Hase rennt vor einem Adler.
4.2	Die Frau braten eine panierte Schweinekotelett.	Eine Frau kocht eine panierte Schweinekotelett.
4.0	Ein Mädchen fliegt einen Drachen.	Ein Mädchen, das läuft, fliegt einen Drachen.
4.0	Ein Mann reitet auf einem mechanischen Bullen.	Ein Mann ritt auf einem mechanischen Bullen.
4.909	Der Mann spielt Gitarre.	Ein Mann spielt Gitarre.
3.0	Eine Frau tanzt und singt mit anderen Frauen.	Eine Frau tanzt und singt im Regen.
2.4	Ein Mann schneidet ein Brötchen.	Ein Mann schneidet eine Zwiebel.
4.2	Ein Mann gießt Öl in eine Pfanne.	Ein Mann gießt Öl in eine Pfanne.
3.4	Ein Löwe spielt mit Menschen.	Ein Löwe spielt mit zwei Männern.
5.0	Ein Hund reitet ein Skateboard.	Ein Hund reitet auf einem Skateboard.
3.75	Jemand schnitzen eine Statue.	Ein Mann schnitzen eine Statue.
2.75	Eine Frau schneidet eine Zwiebel.	Ein Mann schneidet eine Zwiebel.
5.0	Eine Frau schält Garnelen.	Eine Frau schält Garnelen.
4.0	Eine Frau braten Fisch.	Eine Frau kocht Fisch.
3.6	Eine Frau spielt eine E-Gitarre.	Eine Frau spielt Gitarre.
1.6	Ein Babytiger spielt mit einem Ball.	Ein Baby spielt mit einer Puppe.
1.75	Eine Person schneidet eine Tomate.	Eine Person schneidet etwas Fleisch.
